1,google.com
2,microsoft.com
3,www.google.com
4,facebook.com
5,windowsupdate.com
6,ctldl.windowsupdate.com
7,netflix.com
8,data.microsoft.com
9,api-global.netflix.com
10,safebrowsing.googleapis.com
11,doubleclick.net
12,g.doubleclick.net
13,live.com
14,clients4.google.com
15,settings-win.data.microsoft.com
16,events.data.microsoft.com
17,googleads.g.doubleclick.net
18,youtube.com
19,www.googleapis.com
20,clientservices.googleapis.com
21,www.facebook.com
22,apple.com
23,skype.com
24,fbcdn.net
25,prod.netflix.com
26,push.prod.netflix.com
27,graph.facebook.com
28,officeapps.live.com
29,googleusercontent.com
30,edge.skype.com
31,mtalk.google.com
32,google-analytics.com
33,config.edge.skype.com
34,update.googleapis.com
35,www.youtube.com
36,mp.microsoft.com
37,ytimg.com
38,play.googleapis.com
39,v10.events.data.microsoft.com
40,www.google-analytics.com
41,nexusrules.officeapps.live.com
42,i.ytimg.com
43,bing.com
44,xx.fbcdn.net
45,googlevideo.com
46,fna.fbcdn.net
47,googleadservices.com
48,lh3.googleusercontent.com
49,fonts.googleapis.com
50,amazonaws.com
51,accounts.google.com
52,office365.com
53,akamaiedge.net
54,googlesyndication.com
55,play.google.com
56,icloud.com
57,weather.microsoft.com
58,dsp.mp.microsoft.com
59,outlook.office365.com
60,clients1.google.com
61,akadns.net
62,www.googleadservices.com
63,login.live.com
64,tile-service.weather.microsoft.com
65,digicert.com
66,do.dsp.mp.microsoft.com
67,prod.do.dsp.mp.microsoft.com
68,clients.google.com
69,com.akadns.net
70,android.clients.google.com
71,aria.microsoft.com
72,pipe.aria.microsoft.com
73,app-measurement.com
74,android.googleapis.com
75,ggpht.com
76,msn.com
77,securepubads.g.doubleclick.net
78,itunes.apple.com
79,push.apple.com
80,teams.microsoft.com
81,ocsp.digicert.com
82,pagead2.googlesyndication.com
83,www.bing.com
84,edge-mqtt.facebook.com
85,www.apple.com
86,ls.apple.com
87,youtubei.googleapis.com
88,microsoftonline.com
89,login.microsoftonline.com
90,googletagmanager.com
91,www.googletagmanager.com
92,stats.g.doubleclick.net
93,config.teams.microsoft.com
94,yahoo.com
95,scontent.xx.fbcdn.net
96,gvt2.com
97,adservice.google.com
98,windows.net
99,ftl.netflix.com
100,office.com
101,yt3.ggpht.com
102,mobile.pipe.aria.microsoft.com
103,prod.ftl.netflix.com
104,time-ios.apple.com
105,dsce9.akamaiedge.net
106,facebook.net
107,connect.facebook.net
108,crashlytics.com
109,tpc.googlesyndication.com
110,ichnaea.netflix.com
111,qq.com
112,b-graph.facebook.com
113,nrdp.prod.ftl.netflix.com
114,apple-dns.net
115,gcp.gvt2.com
116,beacons.gcp.gvt2.com
117,b-api.facebook.com
118,gvt1.com
119,fe.apple-dns.net
120,www.icloud.com
121,msedge.net
122,static.xx.fbcdn.net
123,aaplimg.com
124,g.aaplimg.com
125,mqtt-mini.facebook.com
126,apis.google.com
127,gsp64-ssl.ls.apple.com
128,nexus.officeapps.live.com
129,c10r.facebook.com
130,init.itunes.apple.com
131,roaming.officeapps.live.com
132,self.events.data.microsoft.com
133,scorecardresearch.com
134,l.google.com
135,windows.com
136,e6858.dsce9.akamaiedge.net
137,clients2.google.com
138,mail.google.com
139,clients6.google.com
140,redirector.gvt1.com
141,xp.apple.com
142,ntp.org
143,pool.ntp.org
144,sb.scorecardresearch.com
145,instagram.com
146,api.facebook.com
147,msftncsi.com
148,e.crashlytics.com
149,adnxs.com
150,amazon.com
151,lithium.facebook.com
152,redirector.googlevideo.com
153,akamai.net
154,twitter.com
155,googletagservices.com
156,outlook.com
157,www.googletagservices.com
158,login.windows.net
159,ssl.google-analytics.com
160,arc.msn.com
161,settings.crashlytics.com
162,people-pa.googleapis.com
163,star.c10r.facebook.com
164,clients3.google.com
165,akamaized.net
166,ogs.google.com
167,update.microsoft.com
168,s.youtube.com
169,a.akamaiedge.net
170,oauthaccountmanager.googleapis.com
171,nflxso.net
172,adsrvr.org
173,beacons.gvt2.com
